Date,Year,Quarter,Month,Month Name,Week,Day of Week,Day Type,Holiday Name
2023-12-01,2023,4,12,Dec,48,Fri,Workday,
2023-12-02,2023,4,12,Dec,48,Sat,Weekend,
2023-12-03,2023,4,12,Dec,48,Sun,Weekend,
2023-12-04,2023,4,12,Dec,49,Mon,Workday,
2023-12-05,2023,4,12,Dec,49,Tue,Workday,
2023-12-06,2023,4,12,Dec,49,Wed,Workday,
2023-12-07,2023,4,12,Dec,49,Thu,Workday,
2023-12-08,2023,4,12,Dec,49,Fri,Workday,
2023-12-09,2023,4,12,Dec,49,Sat,Weekend,
2023-12-10,2023,4,12,Dec,49,Sun,Weekend,
2023-12-11,2023,4,12,Dec,50,Mon,Workday,
2023-12-12,2023,4,12,Dec,50,Tue,Workday,
2023-12-13,2023,4,12,Dec,50,Wed,Workday,
2023-12-14,2023,4,12,Dec,50,Thu,Workday,
2023-12-15,2023,4,12,Dec,50,Fri,Workday,
2023-12-16,2023,4,12,Dec,50,Sat,Weekend,
2023-12-17,2023,4,12,Dec,50,Sun,Weekend,
2023-12-18,2023,4,12,Dec,51,Mon,Workday,
2023-12-19,2023,4,12,Dec,51,Tue,Workday,
2023-12-20,2023,4,12,Dec,51,Wed,Workday,
2023-12-21,2023,4,12,Dec,51,Thu,Workday,
2023-12-22,2023,4,12,Dec,51,Fri,Workday,
2023-12-23,2023,4,12,Dec,51,Sat,Weekend,
2023-12-24,2023,4,12,Dec,51,Sun,Weekend,
2023-12-25,2023,4,12,Dec,52,Mon,Holiday,Christmas Day
2023-12-26,2023,4,12,Dec,52,Tue,Holiday,Boxing Day
2023-12-27,2023,4,12,Dec,52,Wed,Workday,
2023-12-28,2023,4,12,Dec,52,Thu,Workday,
2023-12-29,2023,4,12,Dec,52,Fri,Workday,
2023-12-30,2023,4,12,Dec,52,Sat,Weekend,
2023-12-31,2023,4,12,Dec,52,Sun,Weekend,
2024-01-01,2024,1,1,Jan,1,Mon,Holiday,New Year’s Day
2024-01-02,2024,1,1,Jan,1,Tue,Workday,
2024-01-03,2024,1,1,Jan,1,Wed,Workday,
2024-01-04,2024,1,1,Jan,1,Thu,Workday,
2024-01-05,2024,1,1,Jan,1,Fri,Workday,
2024-01-06,2024,1,1,Jan,1,Sat,Weekend,
2024-01-07,2024,1,1,Jan,1,Sun,Weekend,
2024-01-08,2024,1,1,Jan,2,Mon,Workday,
2024-01-09,2024,1,1,Jan,2,Tue,Workday,
2024-01-10,2024,1,1,Jan,2,Wed,Workday,
2024-01-11,2024,1,1,Jan,2,Thu,Workday,
2024-01-12,2024,1,1,Jan,2,Fri,Workday,
2024-01-13,2024,1,1,Jan,2,Sat,Weekend,
2024-01-14,2024,1,1,Jan,2,Sun,Weekend,
2024-01-15,2024,1,1,Jan,3,Mon,Workday,
2024-01-16,2024,1,1,Jan,3,Tue,Workday,
2024-01-17,2024,1,1,Jan,3,Wed,Workday,
2024-01-18,2024,1,1,Jan,3,Thu,Workday,
2024-01-19,2024,1,1,Jan,3,Fri,Workday,
2024-01-20,2024,1,1,Jan,3,Sat,Weekend,
2024-01-21,2024,1,1,Jan,3,Sun,Weekend,
2024-01-22,2024,1,1,Jan,4,Mon,Workday,
2024-01-23,2024,1,1,Jan,4,Tue,Workday,
2024-01-24,2024,1,1,Jan,4,Wed,Workday,
2024-01-25,2024,1,1,Jan,4,Thu,Workday,
2024-01-26,2024,1,1,Jan,4,Fri,Workday,
2024-01-27,2024,1,1,Jan,4,Sat,Weekend,
2024-01-28,2024,1,1,Jan,4,Sun,Weekend,
2024-01-29,2024,1,1,Jan,5,Mon,Workday,
2024-01-30,2024,1,1,Jan,5,Tue,Workday,
2024-01-31,2024,1,1,Jan,5,Wed,Workday,
2024-02-01,2024,1,2,Feb,5,Thu,Workday,
2024-02-02,2024,1,2,Feb,5,Fri,Workday,
2024-02-03,2024,1,2,Feb,5,Sat,Weekend,
2024-02-04,2024,1,2,Feb,5,Sun,Weekend,
2024-02-05,2024,1,2,Feb,6,Mon,Workday,
2024-02-06,2024,1,2,Feb,6,Tue,Workday,
2024-02-07,2024,1,2,Feb,6,Wed,Workday,
2024-02-08,2024,1,2,Feb,6,Thu,Workday,
2024-02-09,2024,1,2,Feb,6,Fri,Workday,
2024-02-10,2024,1,2,Feb,6,Sat,Weekend,
2024-02-11,2024,1,2,Feb,6,Sun,Weekend,
2024-02-12,2024,1,2,Feb,7,Mon,Workday,
2024-02-13,2024,1,2,Feb,7,Tue,Workday,
2024-02-14,2024,1,2,Feb,7,Wed,Workday,
2024-02-15,2024,1,2,Feb,7,Thu,Workday,
2024-02-16,2024,1,2,Feb,7,Fri,Workday,
2024-02-17,2024,1,2,Feb,7,Sat,Weekend,
2024-02-18,2024,1,2,Feb,7,Sun,Weekend,
2024-02-19,2024,1,2,Feb,8,Mon,Workday,
2024-02-20,2024,1,2,Feb,8,Tue,Workday,
2024-02-21,2024,1,2,Feb,8,Wed,Workday,
2024-02-22,2024,1,2,Feb,8,Thu,Workday,
2024-02-23,2024,1,2,Feb,8,Fri,Workday,
2024-02-24,2024,1,2,Feb,8,Sat,Weekend,
2024-02-25,2024,1,2,Feb,8,Sun,Weekend,
2024-02-26,2024,1,2,Feb,9,Mon,Workday,
2024-02-27,2024,1,2,Feb,9,Tue,Workday,
2024-02-28,2024,1,2,Feb,9,Wed,Workday,
2024-02-29,2024,1,2,Feb,9,Thu,Workday,
2024-03-01,2024,1,3,Mar,9,Fri,Workday,
2024-03-02,2024,1,3,Mar,9,Sat,Weekend,
2024-03-03,2024,1,3,Mar,9,Sun,Weekend,
2024-03-04,2024,1,3,Mar,10,Mon,Workday,
2024-03-05,2024,1,3,Mar,10,Tue,Workday,
2024-03-06,2024,1,3,Mar,10,Wed,Workday,
2024-03-07,2024,1,3,Mar,10,Thu,Workday,
2024-03-08,2024,1,3,Mar,10,Fri,Workday,
2024-03-09,2024,1,3,Mar,10,Sat,Weekend,
2024-03-10,2024,1,3,Mar,10,Sun,Weekend,
2024-03-11,2024,1,3,Mar,11,Mon,Workday,
2024-03-12,2024,1,3,Mar,11,Tue,Workday,
2024-03-13,2024,1,3,Mar,11,Wed,Workday,
2024-03-14,2024,1,3,Mar,11,Thu,Workday,
2024-03-15,2024,1,3,Mar,11,Fri,Workday,
2024-03-16,2024,1,3,Mar,11,Sat,Weekend,
2024-03-17,2024,1,3,Mar,11,Sun,Weekend,
2024-03-18,2024,1,3,Mar,12,Mon,Workday,
2024-03-19,2024,1,3,Mar,12,Tue,Workday,
2024-03-20,2024,1,3,Mar,12,Wed,Workday,
2024-03-21,2024,1,3,Mar,12,Thu,Workday,
2024-03-22,2024,1,3,Mar,12,Fri,Workday,
2024-03-23,2024,1,3,Mar,12,Sat,Weekend,
2024-03-24,2024,1,3,Mar,12,Sun,Weekend,
2024-03-25,2024,1,3,Mar,13,Mon,Workday,
2024-03-26,2024,1,3,Mar,13,Tue,Workday,
2024-03-27,2024,1,3,Mar,13,Wed,Workday,
2024-03-28,2024,1,3,Mar,13,Thu,Workday,
2024-03-29,2024,1,3,Mar,13,Fri,Holiday,Good Friday
2024-03-30,2024,1,3,Mar,13,Sat,Weekend,
2024-03-31,2024,1,3,Mar,13,Sun,Weekend,
2024-04-01,2024,2,4,Apr,14,Mon,Holiday,Easter Monday
2024-04-02,2024,2,4,Apr,14,Tue,Workday,
2024-04-03,2024,2,4,Apr,14,Wed,Workday,
2024-04-04,2024,2,4,Apr,14,Thu,Workday,
2024-04-05,2024,2,4,Apr,14,Fri,Workday,
2024-04-06,2024,2,4,Apr,14,Sat,Weekend,
2024-04-07,2024,2,4,Apr,14,Sun,Weekend,
2024-04-08,2024,2,4,Apr,15,Mon,Workday,
2024-04-09,2024,2,4,Apr,15,Tue,Workday,
2024-04-10,2024,2,4,Apr,15,Wed,Workday,
2024-04-11,2024,2,4,Apr,15,Thu,Workday,
2024-04-12,2024,2,4,Apr,15,Fri,Workday,
2024-04-13,2024,2,4,Apr,15,Sat,Weekend,
2024-04-14,2024,2,4,Apr,15,Sun,Weekend,
2024-04-15,2024,2,4,Apr,16,Mon,Workday,
2024-04-16,2024,2,4,Apr,16,Tue,Workday,
2024-04-17,2024,2,4,Apr,16,Wed,Workday,
2024-04-18,2024,2,4,Apr,16,Thu,Workday,
2024-04-19,2024,2,4,Apr,16,Fri,Workday,
2024-04-20,2024,2,4,Apr,16,Sat,Weekend,
2024-04-21,2024,2,4,Apr,16,Sun,Weekend,
2024-04-22,2024,2,4,Apr,17,Mon,Workday,
2024-04-23,2024,2,4,Apr,17,Tue,Workday,
2024-04-24,2024,2,4,Apr,17,Wed,Workday,
2024-04-25,2024,2,4,Apr,17,Thu,Workday,
2024-04-26,2024,2,4,Apr,17,Fri,Workday,
2024-04-27,2024,2,4,Apr,17,Sat,Weekend,
2024-04-28,2024,2,4,Apr,17,Sun,Weekend,
2024-04-29,2024,2,4,Apr,18,Mon,Workday,
2024-04-30,2024,2,4,Apr,18,Tue,Workday,
2024-05-01,2024,2,5,May,18,Wed,Workday,
2024-05-02,2024,2,5,May,18,Thu,Workday,
2024-05-03,2024,2,5,May,18,Fri,Workday,
2024-05-04,2024,2,5,May,18,Sat,Weekend,
2024-05-05,2024,2,5,May,18,Sun,Weekend,
2024-05-06,2024,2,5,May,19,Mon,Holiday,Early May bank holiday
2024-05-07,2024,2,5,May,19,Tue,Workday,
2024-05-08,2024,2,5,May,19,Wed,Workday,
2024-05-09,2024,2,5,May,19,Thu,Workday,
2024-05-10,2024,2,5,May,19,Fri,Workday,
2024-05-11,2024,2,5,May,19,Sat,Weekend,
2024-05-12,2024,2,5,May,19,Sun,Weekend,
2024-05-13,2024,2,5,May,20,Mon,Workday,
2024-05-14,2024,2,5,May,20,Tue,Workday,
2024-05-15,2024,2,5,May,20,Wed,Workday,
2024-05-16,2024,2,5,May,20,Thu,Workday,
2024-05-17,2024,2,5,May,20,Fri,Workday,
2024-05-18,2024,2,5,May,20,Sat,Weekend,
2024-05-19,2024,2,5,May,20,Sun,Weekend,
2024-05-20,2024,2,5,May,21,Mon,Workday,
2024-05-21,2024,2,5,May,21,Tue,Workday,
2024-05-22,2024,2,5,May,21,Wed,Workday,
2024-05-23,2024,2,5,May,21,Thu,Workday,
2024-05-24,2024,2,5,May,21,Fri,Workday,
2024-05-25,2024,2,5,May,21,Sat,Weekend,
2024-05-26,2024,2,5,May,21,Sun,Weekend,
2024-05-27,2024,2,5,May,22,Mon,Holiday,Spring bank holiday
2024-05-28,2024,2,5,May,22,Tue,Workday,
2024-05-29,2024,2,5,May,22,Wed,Workday,
2024-05-30,2024,2,5,May,22,Thu,Workday,
2024-05-31,2024,2,5,May,22,Fri,Workday,
