Date,Month,Week,Day of Week,Bookings,Journeys,Delayed_Journeys,Cancelled_Journeys,Revenue,Refunded,First_Class,Is_Weekend,Is_Holiday
2024-01-01,1,1,0,66,61,5,0,1682,41,4,0,1
2024-01-02,1,1,1,146,112,6,8,4830,102,19,0,0
2024-01-03,1,1,2,292,168,10,8,7159,437,31,0,0
2024-01-04,1,1,3,274,176,7,9,7063,560,25,0,0
2024-01-05,1,1,4,253,159,8,3,5934,202,22,0,0
2024-01-06,1,1,5,250,165,3,7,5778,252,22,1,0
2024-01-07,1,1,6,248,167,7,8,5495,177,19,1,0
2024-01-08,1,2,0,289,174,10,5,6737,360,32,0,0
2024-01-09,1,2,1,266,169,10,3,7359,294,33,0,0
2024-01-10,1,2,2,268,164,10,3,6655,332,24,0,0
2024-01-11,1,2,3,290,170,11,10,7405,558,29,0,0
2024-01-12,1,2,4,277,169,7,8,6718,441,31,0,0
2024-01-13,1,2,5,275,174,10,7,5871,312,21,1,0
2024-01-14,1,2,6,265,162,6,5,6007,151,26,1,0
2024-01-15,1,3,0,250,162,12,6,6530,395,27,0,0
2024-01-16,1,3,1,273,170,9,7,6227,220,33,0,0
2024-01-17,1,3,2,293,178,10,6,7028,237,32,0,0
2024-01-18,1,3,3,301,182,11,14,7279,418,27,0,0
2024-01-19,1,3,4,274,167,8,5,7420,218,23,0,0
2024-01-20,1,3,5,267,167,7,9,5437,213,18,1,0
2024-01-21,1,3,6,248,153,10,4,5148,609,23,1,0
2024-01-22,1,4,0,275,172,7,4,7378,618,31,0,0
2024-01-23,1,4,1,269,161,9,13,6212,319,24,0,0
2024-01-24,1,4,2,269,169,9,6,6651,324,21,0,0
2024-01-25,1,4,3,278,172,7,4,7027,309,20,0,0
2024-01-26,1,4,4,278,179,8,10,6904,688,31,0,0
2024-01-27,1,4,5,276,174,8,7,6313,374,29,1,0
2024-01-28,1,4,6,285,167,11,13,7099,479,29,1,0
2024-01-29,1,5,0,256,156,6,3,7062,378,17,0,0
2024-01-30,1,5,1,265,166,11,9,6014,473,21,0,0
2024-01-31,1,5,2,295,175,13,3,9196,515,31,0,0
2024-02-01,2,5,3,281,187,7,7,6204,176,25,0,0
2024-02-02,2,5,4,278,168,12,6,7235,403,23,0,0
2024-02-03,2,5,5,271,172,10,10,6295,269,28,1,0
2024-02-04,2,5,6,290,182,7,3,5573,344,20,1,0
2024-02-05,2,6,0,247,155,9,6,6080,373,35,0,0
2024-02-06,2,6,1,260,160,9,6,6354,288,34,0,0
2024-02-07,2,6,2,238,160,7,8,5683,455,19,0,0
2024-02-08,2,6,3,269,170,7,4,5433,109,27,0,0
2024-02-09,2,6,4,270,164,9,4,5546,308,15,0,0
2024-02-10,2,6,5,258,163,11,5,5148,236,17,1,0
2024-02-11,2,6,6,245,177,10,3,4567,268,18,1,0
2024-02-12,2,7,0,269,169,8,4,6051,296,27,0,0
2024-02-13,2,7,1,249,146,7,6,6300,554,20,0,0
2024-02-14,2,7,2,277,182,10,13,6587,467,29,0,0
2024-02-15,2,7,3,258,167,13,5,5394,397,20,0,0
2024-02-16,2,7,4,240,164,7,2,5193,68,21,0,0
2024-02-17,2,7,5,244,163,6,7,5345,148,27,1,0
2024-02-18,2,7,6,275,169,7,8,5410,272,37,1,0
2024-02-19,2,8,0,253,162,8,4,4669,167,22,0,0
2024-02-20,2,8,1,274,171,9,6,5475,203,29,0,0
2024-02-21,2,8,2,297,167,12,7,5921,275,28,0,0
2024-02-22,2,8,3,254,164,10,10,5178,338,15,0,0
2024-02-23,2,8,4,262,173,9,4,4200,378,19,0,0
2024-02-24,2,8,5,245,156,6,9,3994,27,21,1,0
2024-02-25,2,8,6,287,163,7,8,5325,74,30,1,0
2024-02-26,2,9,0,256,160,12,10,5322,339,30,0,0
2024-02-27,2,9,1,263,156,12,6,5183,316,34,0,0
2024-02-28,2,9,2,286,185,7,4,5271,78,28,0,0
2024-02-29,2,9,3,248,164,8,6,4438,219,21,0,0
2024-03-01,3,9,4,73,55,2,0,1805,185,9,0,0
2024-03-02,3,9,5,157,110,5,9,4532,207,19,1,0
2024-03-03,3,9,6,290,172,8,6,5992,363,21,1,0
2024-03-04,3,10,0,244,157,12,6,5936,255,18,0,0
2024-03-05,3,10,1,296,180,7,12,7213,317,34,0,0
2024-03-06,3,10,2,282,168,9,5,7046,392,26,0,0
2024-03-07,3,10,3,257,156,10,12,6286,211,18,0,0
2024-03-08,3,10,4,251,149,8,5,7375,352,30,0,0
2024-03-09,3,10,5,313,180,7,7,6952,262,32,1,0
2024-03-10,3,10,6,294,170,13,8,6491,122,36,1,0
2024-03-11,3,11,0,292,174,10,6,6905,435,31,0,0
2024-03-12,3,11,1,244,159,11,5,6692,190,25,0,0
2024-03-13,3,11,2,269,172,8,7,7170,229,33,0,0
2024-03-14,3,11,3,284,178,16,3,6698,574,26,0,0
2024-03-15,3,11,4,264,161,7,10,6777,230,26,0,0
2024-03-16,3,11,5,233,158,11,7,5174,258,24,1,0
2024-03-17,3,11,6,253,160,11,7,5987,433,22,1,0
2024-03-18,3,12,0,291,170,8,5,7223,457,25,0,0
2024-03-19,3,12,1,252,163,8,7,5692,320,26,0,0
2024-03-20,3,12,2,275,163,9,5,6552,729,24,0,0
2024-03-21,3,12,3,293,184,13,2,7207,485,26,0,0
2024-03-22,3,12,4,267,168,10,10,6366,376,30,0,0
2024-03-23,3,12,5,262,166,10,9,5944,470,23,1,0
2024-03-24,3,12,6,248,163,11,7,5615,311,23,1,0
2024-03-25,3,13,0,304,192,10,10,7110,214,30,0,0
2024-03-26,3,13,1,288,190,12,4,7150,294,37,0,0
2024-03-27,3,13,2,275,174,8,13,6315,516,32,0,0
2024-03-28,3,13,3,256,175,9,4,5414,292,17,0,0
2024-03-29,3,13,4,259,171,8,8,6660,494,18,0,1
2024-03-30,3,13,5,285,170,15,9,5865,418,23,1,0
2024-03-31,3,13,6,266,175,8,7,7003,163,30,1,0
2024-04-01,4,14,0,63,57,5,0,1562,3,8,0,1
2024-04-02,4,14,1,153,117,5,4,4083,286,10,0,0
2024-04-03,4,14,2,267,164,9,5,7041,37,30,0,0
2024-04-04,4,14,3,252,158,6,7,5637,221,18,0,0
2024-04-05,4,14,4,240,151,9,4,6403,473,27,0,0
2024-04-06,4,14,5,282,172,5,8,5653,202,28,1,0
2024-04-07,4,14,6,245,152,5,8,6036,392,22,1,0
2024-04-08,4,15,0,280,172,12,7,7019,259,25,0,0
2024-04-09,4,15,1,302,168,11,7,8092,468,40,0,0
2024-04-10,4,15,2,250,151,4,6,5467,219,19,0,0
