Date,Day Type,Bookings,Booknigs_lower,Booking_upper,Journeys,Journeys_lower,Journeys_upper,First Class,First Class_lower,First Class_upper,Revenue,Revenue_lower,Revenue_upper,Revenue,Revenue_lower,Revenue_upper
2024-05-01,Workday,281,238,326,173,148,197,29,22,35,6846.2,5683.7,8146.1,6846.2,5579.6,8097.6
2024-05-02,Workday,274,233,317,173,150,196,23,17,31,6322.7,5039.2,7591.4,6322.7,5107.9,7646.7
2024-05-03,Workday,269,227,310,168,143,190,26,19,33,6536.0,5418.5,7817.2,6536.0,5306.2,7760.3
2024-05-04,Weekend,264,226,305,167,143,188,25,18,32,5832.6,4509.6,7147.4,5832.6,4649.5,7064.2
2024-05-05,Weekend,275,232,319,170,147,192,27,20,34,6023.0,4788.4,7236.1,6023.0,4733.7,7283.1
2024-05-06,Holiday,130,91,174,90,66,113,10,4,17,3245.8,2055.1,4545.6,3245.8,1984.1,4481.9
2024-05-07,Workday,261,217,303,164,139,185,29,22,36,6411.5,5188.0,7617.2,6411.5,5273.3,7646.6
2024-05-08,Workday,282,239,325,173,149,195,29,22,36,6864.5,5496.0,8071.3,6864.5,5599.5,8112.8
2024-05-09,Workday,275,236,316,173,150,196,24,17,31,6339.6,5074.4,7636.9,6339.6,5044.8,7546.7
2024-05-10,Workday,270,226,314,168,144,192,26,20,33,6553.5,5353.4,7815.4,6553.5,5233.8,7815.2
2024-05-11,Weekend,265,220,307,168,145,191,25,18,32,5848.2,4567.8,7140.3,5848.2,4519.0,7081.2
2024-05-12,Weekend,275,230,316,171,147,194,28,21,34,6039.1,4818.1,7176.5,6039.1,4817.5,7310.5
2024-05-13,Workday,267,225,308,167,144,190,28,21,35,6507.8,5325.3,7817.5,6507.8,5305.9,7854.0
2024-05-14,Workday,262,219,305,164,142,188,29,22,36,6428.6,5227.1,7675.6,6428.6,5133.0,7682.7
2024-05-15,Workday,282,243,325,173,149,196,29,22,36,6882.8,5696.1,8150.4,6882.8,5671.7,8136.3
2024-05-16,Workday,276,235,319,173,151,196,24,16,30,6356.5,5131.7,7610.9,6356.5,5095.7,7663.1
2024-05-17,Workday,270,227,314,168,145,191,27,19,34,6570.9,5276.9,7852.1,6570.9,5393.6,7767.7
2024-05-18,Weekend,265,224,309,168,145,191,25,18,32,5863.8,4548.8,7066.9,5863.8,4556.4,7121.3
2024-05-19,Weekend,276,234,320,171,148,194,28,21,35,6055.1,4799.7,7369.7,6055.1,4894.3,7417.3
2024-05-20,Workday,268,227,307,167,144,192,28,21,35,6525.1,5299.0,7800.1,6525.1,5280.6,7792.4
2024-05-21,Workday,262,217,306,164,141,187,29,23,36,6445.7,5152.0,7753.4,6445.7,5152.1,7690.0
2024-05-22,Workday,283,240,324,173,150,196,29,22,36,6901.1,5674.3,8076.7,6901.1,5772.4,8162.7
2024-05-23,Workday,276,233,316,173,151,196,24,17,31,6373.4,5049.0,7624.6,6373.4,5074.0,7643.4
2024-05-24,Workday,271,226,309,168,145,192,27,21,34,6588.4,5225.5,7821.5,6588.4,5294.3,7912.0
2024-05-25,Weekend,266,223,308,168,147,193,25,18,32,5879.3,4708.6,7116.3,5879.3,4529.4,7142.6
2024-05-26,Weekend,276,235,319,171,147,195,28,21,35,6071.2,4819.8,7263.5,6071.2,4797.0,7295.7
2024-05-27,Holiday,131,88,175,90,68,113,10,3,17,3271.8,2054.5,4605.8,3271.8,2044.2,4559.5
2024-05-28,Workday,263,221,306,164,142,187,29,22,36,6462.8,5311.2,7699.8,6462.8,5183.8,7782.5
2024-05-29,Workday,284,242,327,174,150,198,30,23,37,6919.4,5668.8,8138.4,6919.4,5662.6,8209.6
2024-05-30,Workday,277,236,321,174,151,197,24,17,31,6390.3,5138.3,7583.9,6390.3,5204.7,7685.4
2024-05-31,Workday,271,232,313,169,147,191,27,19,34,6605.8,5403.0,7812.3,6605.8,5387.7,7859.7
