Journey ID,Route Code,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Delay Duration,Journey Status,Reason for Delay
LIV-MAN:20240101:0000,LIV-MAN,2024-01-01,2024-01-01 00:00:00,2024-01-01 00:30:00,2024-01-01 00:30:00,0 days 00:00:00,On Time,
EUS-YRK:20240101:0000,EUS-YRK,2024-01-01,2024-01-01 00:00:00,2024-01-01 01:50:00,2024-01-01 02:07:00,0 days 00:17:00,Delayed,Signal Failure
PAD-RDG:20240101:0130,PAD-RDG,2024-01-01,2024-01-01 01:30:00,2024-01-01 02:30:00,2024-01-01 02:30:00,0 days 00:00:00,On Time,
YRK-DUR:20240101:0145,YRK-DUR,2024-01-01,2024-01-01 01:45:00,2024-01-01 02:35:00,2024-01-01 02:35:00,0 days 00:00:00,On Time,
PAD-RDG:20240101:0215,PAD-RDG,2024-01-01,2024-01-01 02:15:00,2024-01-01 03:15:00,2024-01-01 03:15:00,0 days 00:00:00,On Time,
MAN-LIV:20240101:0245,MAN-LIV,2024-01-01,2024-01-01 02:45:00,2024-01-01 03:15:00,2024-01-01 03:15:00,0 days 00:00:00,On Time,
MAN-LIV:20240101:0415,MAN-LIV,2024-01-01,2024-01-01 04:15:00,2024-01-01 04:45:00,2024-01-01 04:45:00,0 days 00:00:00,On Time,
STP-BHM:20240101:0430,STP-BHM,2024-01-01,2024-01-01 04:30:00,2024-01-01 05:50:00,2024-01-01 05:50:00,0 days 00:00:00,On Time,
BHM-STP:20240101:0430,BHM-STP,2024-01-01,2024-01-01 04:30:00,2024-01-01 05:50:00,2024-01-01 05:50:00,0 days 00:00:00,On Time,
MAN-LIV:20240101:0500,MAN-LIV,2024-01-01,2024-01-01 05:00:00,2024-01-01 05:30:00,2024-01-01 05:30:00,0 days 00:00:00,On Time,
LIV-MAN:20240101:0500,LIV-MAN,2024-01-01,2024-01-01 05:00:00,2024-01-01 05:30:00,2024-01-01 05:30:00,0 days 00:00:00,On Time,
MAN-LIV:20240101:0530,MAN-LIV,2024-01-01,2024-01-01 05:30:00,2024-01-01 06:00:00,2024-01-01 06:00:00,0 days 00:00:00,On Time,
LIV-MAN:20240101:0600,LIV-MAN,2024-01-01,2024-01-01 06:00:00,2024-01-01 06:30:00,2024-01-01 06:30:00,0 days 00:00:00,On Time,
KGX-YRK:20240101:0615,KGX-YRK,2024-01-01,2024-01-01 06:15:00,2024-01-01 08:05:00,2024-01-01 08:05:00,0 days 00:00:00,On Time,
BHM-STP:20240101:0630,BHM-STP,2024-01-01,2024-01-01 06:30:00,2024-01-01 07:50:00,2024-01-01 07:50:00,0 days 00:00:00,On Time,
STP-BHM:20240101:0630,STP-BHM,2024-01-01,2024-01-01 06:30:00,2024-01-01 07:50:00,2024-01-01 07:50:00,0 days 00:00:00,On Time,
KGX-YRK:20240101:0630,KGX-YRK,2024-01-01,2024-01-01 06:30:00,2024-01-01 08:20:00,2024-01-01 08:20:00,0 days 00:00:00,On Time,
KGX-YRK:20240101:0645,KGX-YRK,2024-01-01,2024-01-01 06:45:00,2024-01-01 08:35:00,2024-01-01 08:35:00,0 days 00:00:00,On Time,
STP-BHM:20240101:0730,STP-BHM,2024-01-01,2024-01-01 07:30:00,2024-01-01 08:50:00,2024-01-01 08:50:00,0 days 00:00:00,On Time,
PAD-WAT:20240101:0730,PAD-WAT,2024-01-01,2024-01-01 07:30:00,2024-01-01 09:00:00,2024-01-01 09:00:00,0 days 00:00:00,On Time,
KGX-YRK:20240101:0730,KGX-YRK,2024-01-01,2024-01-01 07:30:00,2024-01-01 09:20:00,2024-01-01 09:20:00,0 days 00:00:00,On Time,
PAD-RDG:20240101:0745,PAD-RDG,2024-01-01,2024-01-01 07:45:00,2024-01-01 08:45:00,2024-01-01 08:45:00,0 days 00:00:00,On Time,
KGX-YRK:20240101:0745,KGX-YRK,2024-01-01,2024-01-01 07:45:00,2024-01-01 09:35:00,2024-01-01 09:35:00,0 days 00:00:00,On Time,
STP-BHM:20240101:0800,STP-BHM,2024-01-01,2024-01-01 08:00:00,2024-01-01 09:20:00,2024-01-01 09:20:00,0 days 00:00:00,On Time,
LIV-EUS:20240101:0800,LIV-EUS,2024-01-01,2024-01-01 08:00:00,2024-01-01 10:15:00,2024-01-01 10:39:00,0 days 00:24:00,Delayed,Weather Conditions
MAN-SHF:20240101:0815,MAN-SHF,2024-01-01,2024-01-01 08:15:00,2024-01-01 09:00:00,2024-01-01 09:00:00,0 days 00:00:00,On Time,
PAD-RDG:20240101:0845,PAD-RDG,2024-01-01,2024-01-01 08:45:00,2024-01-01 09:45:00,2024-01-01 09:45:00,0 days 00:00:00,On Time,
KGX-YRK:20240101:0900,KGX-YRK,2024-01-01,2024-01-01 09:00:00,2024-01-01 10:50:00,2024-01-01 10:50:00,0 days 00:00:00,On Time,
LIV-MAN:20240101:0915,LIV-MAN,2024-01-01,2024-01-01 09:15:00,2024-01-01 09:45:00,2024-01-01 09:45:00,0 days 00:00:00,On Time,
KGX-YRK:20240101:0930,KGX-YRK,2024-01-01,2024-01-01 09:30:00,2024-01-01 11:20:00,2024-01-01 11:20:00,0 days 00:00:00,On Time,
EUS-BHM:20240101:0945,EUS-BHM,2024-01-01,2024-01-01 09:45:00,2024-01-01 11:05:00,2024-01-01 11:05:00,0 days 00:00:00,On Time,
KGX-YRK:20240101:0945,KGX-YRK,2024-01-01,2024-01-01 09:45:00,2024-01-01 11:35:00,2024-01-01 11:40:00,0 days 00:05:00,Delayed,Signal Failure
LIV-MAN:20240101:1030,LIV-MAN,2024-01-01,2024-01-01 10:30:00,2024-01-01 11:00:00,2024-01-01 11:00:00,0 days 00:00:00,On Time,
PAD-LIV:20240101:1100,PAD-LIV,2024-01-01,2024-01-01 11:00:00,2024-01-01 13:30:00,2024-01-01 13:30:00,0 days 00:00:00,On Time,
BHM-MAN:20240101:1115,BHM-MAN,2024-01-01,2024-01-01 11:15:00,2024-01-01 12:35:00,2024-01-01 13:06:00,0 days 00:31:00,Delayed,Technical Issue
KGX-YRK:20240101:1145,KGX-YRK,2024-01-01,2024-01-01 11:45:00,2024-01-01 13:35:00,2024-01-01 13:35:00,0 days 00:00:00,On Time,
EUS-BHM:20240101:1245,EUS-BHM,2024-01-01,2024-01-01 12:45:00,2024-01-01 14:05:00,2024-01-01 14:05:00,0 days 00:00:00,On Time,
MAN-LIV:20240101:1315,MAN-LIV,2024-01-01,2024-01-01 13:15:00,2024-01-01 13:45:00,2024-01-01 13:45:00,0 days 00:00:00,On Time,
EUS-BHM:20240101:1315,EUS-BHM,2024-01-01,2024-01-01 13:15:00,2024-01-01 14:35:00,2024-01-01 14:35:00,0 days 00:00:00,On Time,
MAN-PAD:20240101:1345,MAN-PAD,2024-01-01,2024-01-01 13:45:00,2024-01-01 16:00:00,2024-01-01 16:00:00,0 days 00:00:00,On Time,
OXF-BRI:20240101:1415,OXF-BRI,2024-01-01,2024-01-01 14:15:00,2024-01-01 15:30:00,2024-01-01 15:54:00,0 days 00:24:00,Delayed,Signal Failure
STP-BHM:20240101:1415,STP-BHM,2024-01-01,2024-01-01 14:15:00,2024-01-01 15:35:00,2024-01-01 15:35:00,0 days 00:00:00,On Time,
PAD-RDG:20240101:1500,PAD-RDG,2024-01-01,2024-01-01 15:00:00,2024-01-01 16:00:00,2024-01-01 16:00:00,0 days 00:00:00,On Time,
PAD-RDG:20240101:1530,PAD-RDG,2024-01-01,2024-01-01 15:30:00,2024-01-01 16:30:00,2024-01-01 16:30:00,0 days 00:00:00,On Time,
MAN-LIV:20240101:1600,MAN-LIV,2024-01-01,2024-01-01 16:00:00,2024-01-01 16:30:00,2024-01-01 16:30:00,0 days 00:00:00,On Time,
EUS-BHM:20240101:1600,EUS-BHM,2024-01-01,2024-01-01 16:00:00,2024-01-01 17:20:00,2024-01-01 17:20:00,0 days 00:00:00,On Time,
EUS-BHM:20240101:1630,EUS-BHM,2024-01-01,2024-01-01 16:30:00,2024-01-01 17:50:00,2024-01-01 17:50:00,0 days 00:00:00,On Time,
LIV-EUS:20240101:1645,LIV-EUS,2024-01-01,2024-01-01 16:45:00,2024-01-01 19:00:00,2024-01-01 19:00:00,0 days 00:00:00,On Time,
KGX-YRK:20240101:1700,KGX-YRK,2024-01-01,2024-01-01 17:00:00,2024-01-01 18:50:00,2024-01-01 18:50:00,0 days 00:00:00,On Time,
LIV-EUS:20240101:1700,LIV-EUS,2024-01-01,2024-01-01 17:00:00,2024-01-01 19:15:00,2024-01-01 19:15:00,0 days 00:00:00,On Time,
LIV-MAN:20240101:1715,LIV-MAN,2024-01-01,2024-01-01 17:15:00,2024-01-01 17:45:00,2024-01-01 17:45:00,0 days 00:00:00,On Time,
MAN-LIV:20240101:1745,MAN-LIV,2024-01-01,2024-01-01 17:45:00,2024-01-01 18:15:00,2024-01-01 18:15:00,0 days 00:00:00,On Time,
STP-BHM:20240101:1745,STP-BHM,2024-01-01,2024-01-01 17:45:00,2024-01-01 19:05:00,2024-01-01 19:05:00,0 days 00:00:00,On Time,
KGX-YRK:20240101:1745,KGX-YRK,2024-01-01,2024-01-01 17:45:00,2024-01-01 19:35:00,2024-01-01 19:35:00,0 days 00:00:00,On Time,
PAD-RDG:20240101:1815,PAD-RDG,2024-01-01,2024-01-01 18:15:00,2024-01-01 19:15:00,2024-01-01 19:15:00,0 days 00:00:00,On Time,
LIV-MAN:20240101:1830,LIV-MAN,2024-01-01,2024-01-01 18:30:00,2024-01-01 19:00:00,2024-01-01 19:00:00,0 days 00:00:00,On Time,
BHM-TAM:20240101:1845,BHM-TAM,2024-01-01,2024-01-01 18:45:00,2024-01-01 19:05:00,2024-01-01 19:05:00,0 days 00:00:00,On Time,
STP-BHM:20240101:1845,STP-BHM,2024-01-01,2024-01-01 18:45:00,2024-01-01 20:05:00,2024-01-01 20:05:00,0 days 00:00:00,On Time,
PAD-RDG:20240101:2130,PAD-RDG,2024-01-01,2024-01-01 21:30:00,2024-01-01 22:30:00,2024-01-01 22:30:00,0 days 00:00:00,On Time,
EUS-OXF:20240101:2230,EUS-OXF,2024-01-01,2024-01-01 22:30:00,2024-01-01 23:40:00,2024-01-01 23:40:00,0 days 00:00:00,On Time,
EUS-BHM:20240101:2330,EUS-BHM,2024-01-01,2024-01-01 23:30:00,2024-01-01 00:50:00,2024-01-01 00:50:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:0000,MAN-LIV,2024-01-02,2024-01-02 00:00:00,2024-01-02 00:30:00,2024-01-02 00:30:00,0 days 00:00:00,On Time,
STP-BHM:20240102:0030,STP-BHM,2024-01-02,2024-01-02 00:30:00,2024-01-02 01:50:00,2024-01-02 01:50:00,0 days 00:00:00,On Time,
YRK-DUR:20240102:0145,YRK-DUR,2024-01-02,2024-01-02 01:45:00,2024-01-02 02:35:00,2024-01-02 02:35:00,0 days 00:00:00,On Time,
MAN-EUS:20240102:0145,MAN-EUS,2024-01-02,2024-01-02 01:45:00,2024-01-02 03:35:00,2024-01-02 03:35:00,0 days 00:00:00,On Time,
PAD-RDG:20240102:0200,PAD-RDG,2024-01-02,2024-01-02 02:00:00,2024-01-02 03:00:00,2024-01-02 03:00:00,0 days 00:00:00,On Time,
EUS-BHM:20240102:0215,EUS-BHM,2024-01-02,2024-01-02 02:15:00,2024-01-02 03:35:00,,,Cancelled,Technical Issue
MAN-LIV:20240102:0230,MAN-LIV,2024-01-02,2024-01-02 02:30:00,2024-01-02 03:00:00,2024-01-02 03:00:00,0 days 00:00:00,On Time,
LIV-MAN:20240102:0245,LIV-MAN,2024-01-02,2024-01-02 02:45:00,2024-01-02 03:15:00,2024-01-02 03:15:00,0 days 00:00:00,On Time,
PAD-RDG:20240102:0315,PAD-RDG,2024-01-02,2024-01-02 03:15:00,2024-01-02 04:15:00,2024-01-02 04:15:00,0 days 00:00:00,On Time,
MAN-EUS:20240102:0330,MAN-EUS,2024-01-02,2024-01-02 03:30:00,2024-01-02 05:20:00,2024-01-02 05:31:00,0 days 00:11:00,Delayed,Weather Conditions
STP-BHM:20240102:0430,STP-BHM,2024-01-02,2024-01-02 04:30:00,2024-01-02 05:50:00,2024-01-02 05:50:00,0 days 00:00:00,On Time,
STP-BHM:20240102:0500,STP-BHM,2024-01-02,2024-01-02 05:00:00,2024-01-02 06:20:00,,,Cancelled,Staff Shortage
EUS-BHM:20240102:0515,EUS-BHM,2024-01-02,2024-01-02 05:15:00,2024-01-02 06:35:00,2024-01-02 06:35:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:0545,MAN-LIV,2024-01-02,2024-01-02 05:45:00,2024-01-02 06:15:00,2024-01-02 06:15:00,0 days 00:00:00,On Time,
EUS-BHM:20240102:0545,EUS-BHM,2024-01-02,2024-01-02 05:45:00,2024-01-02 07:05:00,2024-01-02 07:05:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:0600,MAN-LIV,2024-01-02,2024-01-02 06:00:00,2024-01-02 06:30:00,2024-01-02 06:30:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:0615,MAN-LIV,2024-01-02,2024-01-02 06:15:00,2024-01-02 06:45:00,2024-01-02 06:45:00,0 days 00:00:00,On Time,
PAD-RDG:20240102:0615,PAD-RDG,2024-01-02,2024-01-02 06:15:00,2024-01-02 07:15:00,2024-01-02 07:15:00,0 days 00:00:00,On Time,
KGX-YRK:20240102:0615,KGX-YRK,2024-01-02,2024-01-02 06:15:00,2024-01-02 08:05:00,2024-01-02 08:35:00,0 days 00:30:00,Delayed,Technical Issue
BHM-STA:20240102:0630,BHM-STA,2024-01-02,2024-01-02 06:30:00,2024-01-02 07:00:00,2024-01-02 07:00:00,0 days 00:00:00,On Time,
YRK-DON:20240102:0630,YRK-DON,2024-01-02,2024-01-02 06:30:00,2024-01-02 07:00:00,2024-01-02 07:00:00,0 days 00:00:00,On Time,
BHM-STP:20240102:0630,BHM-STP,2024-01-02,2024-01-02 06:30:00,2024-01-02 07:50:00,2024-01-02 07:50:00,0 days 00:00:00,On Time,
EUS-BHM:20240102:0630,EUS-BHM,2024-01-02,2024-01-02 06:30:00,2024-01-02 07:50:00,2024-01-02 07:50:00,0 days 00:00:00,On Time,
STP-BHM:20240102:0630,STP-BHM,2024-01-02,2024-01-02 06:30:00,2024-01-02 07:50:00,2024-01-02 07:50:00,0 days 00:00:00,On Time,
BHM-EUS:20240102:0630,BHM-EUS,2024-01-02,2024-01-02 06:30:00,2024-01-02 07:50:00,2024-01-02 07:50:00,0 days 00:00:00,On Time,
STP-WVH:20240102:0630,STP-WVH,2024-01-02,2024-01-02 06:30:00,2024-01-02 08:00:00,2024-01-02 08:00:00,0 days 00:00:00,On Time,
EUS-MAN:20240102:0630,EUS-MAN,2024-01-02,2024-01-02 06:30:00,2024-01-02 08:20:00,2024-01-02 08:20:00,0 days 00:00:00,On Time,
MAN-LIV:20240102:0645,MAN-LIV,2024-01-02,2024-01-02 06:45:00,2024-01-02 07:15:00,2024-01-02 07:15:00,0 days 00:00:00,On Time,
